Cruise,Station,Year,Month,Day,Hour,Lat,Long,Pressure_CTD (dbar),Depth (m),Temperatura_CTD (C),Salinidade_CTD (psu),Sound velocity_CTD (m/s),Density_CTD(kg/m3),Prof local (m),Secchi (m),Salinidade (psu),Temperatura (C),pH,pH2,Tph,OD (mg/L),OD (% sat),OD (frasco),pCO2,Cond(mS/cm),Ch4,Metais (ml),N Fil Metais,MPS (mL),MPS (mg/ L),Volume filtrado Chl-a (ml),Chl a (ug/m3),Feo (ug/m3),Clorf-a (ug/m3),Clorf-b (ug/m3),Clorf-c (ug/m3),Clorf-a 2(ug/m3),Clorf-b 2(ug/m3),Clorf-c 2(ug/m3),Carotenoide Diatom (ug/m3),Carotenoide Dinofl (ug/m3)
VLT01,VLT131,2021,11,8,7:54,-23.149917,-44.372883,,1,,,,,28.7,9,33.14,23.77,8.33,,,5.7,82,,337,,12300,,,2500,2.1,2500,0.82,-0.12,0.8,-0.16,0.01,0.78,-0.16,0.02,0.57,1.43
VLT01,VLT131,2021,11,8,7:54,-23.149917,-44.372883,,27.7,,,,,28.7,,,,,,,,,,,,,,,,,2000,1.05,0.75,1.54,0.11,0.27,1.52,0.08,0.6,0.76,1.9
VLT01,VLT132,2021,11,8,9:57,-23.188967,-44.465133,,1,,,,,35.2,10,33.33,24.71,8.28,,,5.01,72.6,,400,,6200,,,2500,2.2,2500,0.54,-0.24,0.43,-0.15,-0.07,0.42,-0.14,-0.17,0.38,0.94
VLT01,VLT132,2021,11,8,9:57,-23.188967,-44.465133,,34.2,,,,,35.2,,,,,,,,,,,,,,,,,2000,0.74,0.43,1.03,0.07,0.18,1.01,0.05,0.4,0.51,1.29
VLT01,VLT133,2021,11,8,11:48,-23.171867,-44.58025,,1,,,,,24,9,33.55,23.97,8.25,,,5.3,75.4,,434,,5690,,,2000,1.7,2000,0.39,-0.34,0.22,-0.2,-0.15,0.21,-0.19,-0.34,0.33,0.82
VLT01,VLT133,2021,11,8,11:48,-23.171867,-44.58025,,23,,,,,24,,,,,,,,,,,,,,,,,1800,1.32,0.81,1.86,0.14,0.34,1.82,0.11,0.75,0.96,2.41
VLT01,VLT134,2021,11,8,13:50,-23.09625,-44.597717,,1,,,,,16,11,32.56,25.07,8.28,,,5.18,75.4,,393,,7550,,,3000,1.4,3000,0.34,-0.15,0.28,-0.14,-0.07,0.27,-0.14,-0.17,0.24,0.61
VLT01,VLT134,2021,11,8,13:50,-23.09625,-44.597717,,15,,,,,16,,,,,,,,,,,,,,,,,1200,2.56,2.04,3.89,0.24,0.56,3.83,0.17,1.26,1.98,4.95
VLT01,VLT135,2021,11,8,15:21,-23.036083,-44.502833,,1,,,,,14.9,8,32.79,24.92,8.27,,,5.25,75.5,,406,,13770,,,3000,2.2,2000,0.34,-0.2,0.25,-0.19,-0.11,0.25,-0.18,-0.24,0.35,0.87
VLT01,VLT135,2021,11,8,15:21,-23.036083,-44.502833,,13.9,,,,,14.9,,,,,,,,,,,,,,,,,2000,1.02,1.08,1.7,0.12,0.25,1.68,0.09,0.55,1.09,2.74
VLT01,VLT136,2021,11,8,16:45,-23.023667,-44.4053,,1,,,,,17.8,7,30.97,25.03,8.31,,,5.95,85.7,,360,,10540,,,3000,1.9,2000,1.11,0.26,1.33,-0.05,0.21,1.3,-0.07,0.47,0.78,1.96
VLT01,VLT136,2021,11,8,16:45,-23.023667,-44.4053,,16.8,,,,,17.8,,,,,,,,,,,,,,,,,2000,1.57,1.29,2.4,0.2,0.36,2.36,0.15,0.8,1.41,3.53
VLT01,VLT137,2021,11,8,17:52,-22.988367,-44.3454,,1,,,,,5.7,2.5,28.82,26.65,8.44,,,6.22,91.5,,249,,50000,,,2000,2.9,2000,2.56,0.36,2.9,-0.1,0.58,2.84,-0.13,1.27,2.02,5.05
VLT01,VLT137,2021,11,8,17:52,-22.988367,-44.3454,,4.7,,,,,5.7,,,,,,,,,,,,,,,,,2000,0.88,0.17,1.03,-0.03,0.16,1.01,-0.05,0.35,0.76,1.9
VLT01,VLT138,2021,11,9,8:58,-22.970167,-43.982183,,1,,,,,12,3,30.46,22.63,8.36,8.296,,6.65,91.5,,292,,36300,,,2000,1.7,2000,4.15,0.38,4.56,-0.14,0.95,4.48,-0.19,2.09,1.93,4.83
VLT01,VLT138,2021,11,9,8:58,-22.970167,-43.982183,,11,,,,,12,,,,,,,,,,,,,,,,,950,7.92,3.88,10.63,-0.21,1.95,10.44,-0.33,4.29,4.78,11.96
VLT01,VLT139,2021,11,9,10:14,-22.929167,-43.902833,,1,,,,,11.8,2,30.1,22.67,8.25,8.19,,4.93,67.5,,417,,79600,,,1500,5.1,1400,5.63,2.24,7.25,-0.15,1.36,7.11,-0.24,3.01,2.87,7.17
VLT01,VLT139,2021,11,9,10:14,-22.929167,-43.902833,,10.8,,,,,11.8,,,,,,,,,,,,,,,,,1000,6.53,4.57,9.59,-0.22,1.57,9.44,-0.32,3.43,4.07,10.17
VLT01,VLT140,2021,11,9,11:49,-22.960967,-43.8166,,1,,,,,6.8,2,23.69,24.08,8.67,8.599,,8.37,113,,120,,123000,,,700,8.5,700,23.64,5.2,27.91,-0.93,6.1,27.32,-1.26,13.47,12.32,30.8
VLT01,VLT140,2021,11,9,11:49,-22.960967,-43.8166,,5.8,,,,,6.8,,,,,,,,,,,,,,,,,1000,7.49,2.05,9.08,-0.28,1.54,8.91,-0.39,3.39,3.46,8.65
VLT01,VLT141,2021,11,9,12:58,-22.99035,-43.77445,,1,,,,,5.9,2,28.4,24.64,8.63,8.568,,7.93,110.3,,140,,70000,,,700,7.2,700,16.68,-0.21,17.31,-0.5,3.66,16.95,-0.71,8.09,7.14,17.84
